Team,Event_Id,Time,Type
Chicago Cubs,9722523,12667,
Chicago Cubs,9722495,13442,
Toronto Blue Jays,9715466,16829,
Chicago Cubs,9723515,14438,
Toronto Blue Jays,9715471,18579,
Chicago Cubs,9723425,17056,
Toronto Blue Jays,9715469,22412,
Chicago Cubs,9723447,15563,
Toronto Blue Jays,9715663,19101,
Chicago Cubs,9723509,17050,
Chicago Cubs,9722981,13554,
Toronto Blue Jays,9715657,14683,
Chicago Cubs,9722506,16278,
Toronto Blue Jays,9715559,17489,
Chicago Cubs,9722520,13682,
Toronto Blue Jays,9715556,19749,
Chicago Cubs,9723591,15560,
Toronto Blue Jays,9715482,15896,
Chicago Cubs,9723480,14455,
Toronto Blue Jays,9715483,16434,
Colorado Rockies,9715736,14380,
Chicago Cubs,9723537,14116,
Colorado Rockies,9715747,13819,
Chicago Cubs,9723401,13417,
Toronto Blue Jays,9715480,17667,
Colorado Rockies,9715750,14716,
Chicago Cubs,9723530,12719,
Toronto Blue Jays,9715484,15741,
Chicago Cubs,9723526,18737,
Colorado Rockies,9715758,21281,
Toronto Blue Jays,9715637,19279,
Chicago Cubs,9729557,13465,
Colorado Rockies,9715712,14876,
Toronto Blue Jays,9715641,17608,
Chicago Cubs,9723359,14615,
Colorado Rockies,9715684,13688,
Toronto Blue Jays,9715639,19776,
Colorado Rockies,9715695,15569,
Chicago Cubs,9722482,17836,
Colorado Rockies,9715756,13577,
Toronto Blue Jays,9715654,18817,
Chicago Cubs,9722493,14904,
Colorado Rockies,9715660,17690,
Chicago Cubs,9722466,17765,
Toronto Blue Jays,9715655,19157,
Colorado Rockies,9715701,15734,
Toronto Blue Jays,9715656,16436,
Chicago Cubs,9723512,17019,
Colorado Rockies,9715709,14169,
Toronto Blue Jays,9715648,20041,
Chicago Cubs,9722490,26245,
Colorado Rockies,9715726,16335,
Chicago Cubs,9723412,16571,
Colorado Rockies,9715751,15847,
Toronto Blue Jays,9715646,25941,
Chicago Cubs,9722536,13515,
Colorado Rockies,9715724,14300,
Toronto Blue Jays,9715647,16686,
Colorado Rockies,9715735,14107,
Chicago Cubs,9723496,16822,
Colorado Rockies,9715746,13652,
Toronto Blue Jays,9715565,25471,
Chicago Cubs,9723457,15609,
Chicago Cubs,9723409,13454,
Colorado Rockies,9715696,17620,
Toronto Blue Jays,9715564,18228,
Colorado Rockies,9715704,13792,
Chicago Cubs,9722617,18996,
Toronto Blue Jays,9715562,15756,
Colorado Rockies,9715658,12295,
Colorado Rockies,9715694,13818,
Chicago Cubs,9723445,23446,
Colorado Rockies,9715659,13420,
Chicago Cubs,9722543,13634,
Chicago Cubs,9723470,14811,
Colorado Rockies,9715723,17859,
Chicago Cubs,9723478,12754,
Colorado Rockies,9715745,11973,
Chicago Cubs,9722530,12970,
Colorado Rockies,9715703,12918,
Chicago Cubs,9723465,16862,
Colorado Rockies,9715682,16387,
Chicago Cubs,9722486,14187,
Colorado Rockies,9715693,15688,
Chicago Cubs,9723464,13636,
Colorado Rockies,9715748,13419,
Chicago Cubs,9723475,14164,
Colorado Rockies,9715713,14580,
Chicago Cubs,9723505,13980,
Colorado Rockies,9715759,14498,
Chicago Cubs,9723002,13181,
Colorado Rockies,9715757,17973,
Chicago Cubs,9722573,18653,
Colorado Rockies,9715760,13990,
Chicago Cubs,9729558,14537,
Colorado Rockies,9715685,14741,
Chicago Cubs,9722515,14662,
Colorado Rockies,9715661,14553,
Colorado Rockies,9715702,15024,
Chicago Cubs,9723453,19161,
Colorado Rockies,9715718,17091,
Chicago Cubs,9722985,16646,
Colorado Rockies,9715721,14257,
Chicago Cubs,9723000,13540,
Chicago Cubs,9722560,14540,
Colorado Rockies,9715729,15881,
Chicago Cubs,9722592,15425,
Colorado Rockies,9715732,14906,
Colorado Rockies,9715743,12167,
Chicago Cubs,9722568,12938,
Chicago Cubs,9723507,13436,
Colorado Rockies,9715754,14130,
Colorado Rockies,9715688,13006,
Chicago Cubs,9723499,15127,
Houston Astros,9708525,13362,
Colorado Rockies,9715691,14547,
Chicago Cubs,9723541,14329,
Houston Astros,9708524,16239,
Colorado Rockies,9715699,14271,
Chicago Cubs,9722598,14640,
Houston Astros,9708548,15899,
Houston Astros,9708573,12971,
Colorado Rockies,9715707,20663,
Colorado Rockies,9715710,14296,
Colorado Rockies,9715719,13234,
Colorado Rockies,9715722,14908,
Colorado Rockies,9715744,13360,
Colorado Rockies,9715755,14497,
Colorado Rockies,9715681,15141,
Colorado Rockies,9715689,12177,
Colorado Rockies,9715692,13127,
Colorado Rockies,9715700,18246,
Colorado Rockies,9715708,13217,
Colorado Rockies,9715711,14077,
Colorado Rockies,9715727,15697,
Colorado Rockies,9715730,15370,
Colorado Rockies,9715738,14366,
Colorado Rockies,9715741,16194,
Colorado Rockies,9715749,13464,
Colorado Rockies,9715752,16224,
Colorado Rockies,9715686,17303,
Colorado Rockies,9715697,12800,
Colorado Rockies,9715705,12989,
Colorado Rockies,9715717,13786,
Colorado Rockies,9715720,13956,
Colorado Rockies,9715739,13781,
Colorado Rockies,9715742,15283,
Colorado Rockies,9715753,14206,
Colorado Rockies,9715687,18121,
Colorado Rockies,9715690,22808,
Colorado Rockies,9715698,45373,
Colorado Rockies,9715706,14206,
Colorado Rockies,9715675,13839,
Colorado Rockies,9715678,15127,
Colorado Rockies,9715672,15884,
Colorado Rockies,9715666,12373,
Colorado Rockies,9715664,14165,
Colorado Rockies,9715665,13068,
Milwaukee Brewers,9715609,15288,
Colorado Rockies,9715716,13840,
Milwaukee Brewers,9715634,17611,
Colorado Rockies,9715714,13424,
Milwaukee Brewers,9715645,15520,
Milwaukee Brewers,9715650,15081,
Milwaukee Brewers,9715504,12503,
Milwaukee Brewers,9715557,14568,
Milwaukee Brewers,9715638,15912,
Milwaukee Brewers,9715649,14705,
Milwaukee Brewers,9715507,16381,
Milwaukee Brewers,9715532,13537,
Milwaukee Brewers,9715585,13640,
Milwaukee Brewers,9715604,13739,
Milwaukee Brewers,9715499,13941,
Milwaukee Brewers,9715521,18882,
Milwaukee Brewers,9715527,16035,
Milwaukee Brewers,9715529,12272,
Milwaukee Brewers,9715496,13615,
Milwaukee Brewers,9715513,12277,
Milwaukee Brewers,9715495,16742,
Milwaukee Brewers,9715503,11948,
Milwaukee Brewers,9715514,20926,
Milwaukee Brewers,9715583,24751,
Milwaukee Brewers,9715643,15544,
Milwaukee Brewers,9715508,15484,
Milwaukee Brewers,9715511,14588,
Milwaukee Brewers,9715580,10764,
Milwaukee Brewers,9715519,13882,
Milwaukee Brewers,9715601,12868,
Milwaukee Brewers,9715515,12986,
Milwaukee Brewers,9715602,14617,
Milwaukee Brewers,9715613,12176,
Cleveland Indians,9708146,14152,
Cleveland Indians,9708234,15282,
Cleveland Indians,9708206,13111,
Cleveland Indians,9708135,14879,
Cleveland Indians,9708157,13579,
Cleveland Indians,9708239,12994,
Cleveland Indians,9708154,12766,
Cleveland Indians,9708138,13524,
